OID_,prov,station_name,station_id,climate_id,WMO_id,TC_id,lat,lon,elev,tz,interval,start,end,normals
13,MB,ALEXANDER,3461,5010033,NA,NA,49.829999999999998,-100.299999999999997,427.000000000000000,Etc/GMT+6,day,1979,1999,FALSE
14,MB,ALEXANDER,3461,5010033,NA,NA,49.829999999999998,-100.299999999999997,427.000000000000000,Etc/GMT+6,hour,NA,NA,FALSE
15,MB,ALEXANDER,3461,5010033,NA,NA,49.829999999999998,-100.299999999999997,427.000000000000000,Etc/GMT+6,month,1979,1999,FALSE
43,MB,BRANDON A,3471,5010480,71140,YBR,49.909999999999997,-99.950000000000003,409.399999999999977,Etc/GMT+6,day,1941,2012,TRUE
44,MB,BRANDON A,3471,5010480,71140,YBR,49.909999999999997,-99.950000000000003,409.399999999999977,Etc/GMT+6,hour,1958,2012,TRUE
45,MB,BRANDON A,3471,5010480,71140,YBR,49.909999999999997,-99.950000000000003,409.399999999999977,Etc/GMT+6,month,1941,2012,TRUE
46,MB,BRANDON CDA,3472,5010485,NA,NA,49.869999999999997,-99.980000000000004,362.699999999999989,Etc/GMT+6,day,1890,2010,TRUE
47,MB,BRANDON CDA,3472,5010485,NA,NA,49.869999999999997,-99.980000000000004,362.699999999999989,Etc/GMT+6,hour,NA,NA,TRUE
48,MB,BRANDON CDA,3472,5010485,NA,NA,49.869999999999997,-99.980000000000004,362.699999999999989,Etc/GMT+6,month,1890,2007,TRUE
49,MB,BRANDON SOUTH,3473,5010494,NA,NA,49.820000000000000,-99.950000000000003,396.199999999999989,Etc/GMT+6,day,1972,1975,FALSE
50,MB,BRANDON SOUTH,3473,5010494,NA,NA,49.820000000000000,-99.950000000000003,396.199999999999989,Etc/GMT+6,hour,NA,NA,FALSE
51,MB,BRANDON SOUTH,3473,5010494,NA,NA,49.820000000000000,-99.950000000000003,396.199999999999989,Etc/GMT+6,month,1972,1975,FALSE
52,MB,BRANDON #1 WINTER BAY,3474,5010498,NA,NA,49.829999999999998,-99.980000000000004,396.000000000000000,Etc/GMT+6,day,1987,2002,FALSE
53,MB,BRANDON #1 WINTER BAY,3474,5010498,NA,NA,49.829999999999998,-99.980000000000004,396.000000000000000,Etc/GMT+6,hour,NA,NA,FALSE
54,MB,BRANDON #1 WINTER BAY,3474,5010498,NA,NA,49.829999999999998,-99.980000000000004,396.000000000000000,Etc/GMT+6,month,1987,2002,FALSE
73,MB,CYPRESS RIVER,3481,5010640,NA,NA,49.549999999999997,-99.079999999999998,374.300000000000011,Etc/GMT+6,day,1904,2012,TRUE
74,MB,CYPRESS RIVER,3481,5010640,NA,NA,49.549999999999997,-99.079999999999998,374.300000000000011,Etc/GMT+6,hour,NA,NA,TRUE
75,MB,CYPRESS RIVER,3481,5010640,NA,NA,49.549999999999997,-99.079999999999998,374.300000000000011,Etc/GMT+6,month,1904,2007,TRUE
106,MB,GLENBORO,3492,5011051,NA,NA,49.570000000000000,-99.329999999999998,371.899999999999977,Etc/GMT+6,day,1970,1992,FALSE
107,MB,GLENBORO,3492,5011051,NA,NA,49.570000000000000,-99.329999999999998,371.899999999999977,Etc/GMT+6,hour,NA,NA,FALSE
108,MB,GLENBORO,3492,5011051,NA,NA,49.570000000000000,-99.329999999999998,371.899999999999977,Etc/GMT+6,month,1970,1992,FALSE
163,MB,NORQUAY,3511,5012046,NA,NA,49.479999999999997,-98.750000000000000,457.199999999999989,Etc/GMT+6,day,1883,1913,FALSE
164,MB,NORQUAY,3511,5012046,NA,NA,49.479999999999997,-98.750000000000000,457.199999999999989,Etc/GMT+6,hour,NA,NA,FALSE
165,MB,NORQUAY,3511,5012046,NA,NA,49.479999999999997,-98.750000000000000,457.199999999999989,Etc/GMT+6,month,1883,1913,FALSE
193,MB,RAPID CITY,3521,501233B,NA,NA,50.119999999999997,-99.930000000000007,545.600000000000023,Etc/GMT+6,day,1977,1997,FALSE
194,MB,RAPID CITY,3521,501233B,NA,NA,50.119999999999997,-99.930000000000007,545.600000000000023,Etc/GMT+6,hour,NA,NA,FALSE
195,MB,RAPID CITY,3521,501233B,NA,NA,50.119999999999997,-99.930000000000007,545.600000000000023,Etc/GMT+6,month,1977,1997,FALSE
196,MB,RAPID CITY FORREST,3522,5012333,NA,NA,50.020000000000003,-100.000000000000000,487.699999999999989,Etc/GMT+6,day,1885,1939,FALSE
197,MB,RAPID CITY FORREST,3522,5012333,NA,NA,50.020000000000003,-100.000000000000000,487.699999999999989,Etc/GMT+6,hour,NA,NA,FALSE
198,MB,RAPID CITY FORREST,3522,5012333,NA,NA,50.020000000000003,-100.000000000000000,487.699999999999989,Etc/GMT+6,month,1885,1939,FALSE
232,MB,ST ALBANS,3534,5012540,NA,NA,49.700000000000003,-99.549999999999997,359.699999999999989,Etc/GMT+6,day,1885,1960,FALSE
233,MB,ST ALBANS,3534,5012540,NA,NA,49.700000000000003,-99.549999999999997,359.699999999999989,Etc/GMT+6,hour,NA,NA,FALSE
234,MB,ST ALBANS,3534,5012540,NA,NA,49.700000000000003,-99.549999999999997,359.699999999999989,Etc/GMT+6,month,1885,1960,FALSE
235,MB,ST ALPHONSE,3535,5012545,NA,NA,49.450000000000003,-99.019999999999996,403.300000000000011,Etc/GMT+6,day,1962,2016,TRUE
236,MB,ST ALPHONSE,3535,5012545,NA,NA,49.450000000000003,-99.019999999999996,403.300000000000011,Etc/GMT+6,hour,NA,NA,TRUE
237,MB,ST ALPHONSE,3535,5012545,NA,NA,49.450000000000003,-99.019999999999996,403.300000000000011,Etc/GMT+6,month,1962,2007,TRUE
247,MB,SHILO,3539,5012672,71853,WLO,49.780000000000001,-99.640000000000001,375.199999999999989,Etc/GMT+6,day,1954,1970,FALSE
248,MB,SHILO,3539,5012672,71853,WLO,49.780000000000001,-99.640000000000001,375.199999999999989,Etc/GMT+6,hour,1954,1999,FALSE
249,MB,SHILO,3539,5012672,71853,WLO,49.780000000000001,-99.640000000000001,375.199999999999989,Etc/GMT+6,month,1954,1970,FALSE
262,MB,SOMERSET,3544,5012710,NA,NA,49.450000000000003,-98.620000000000005,487.800000000000011,Etc/GMT+6,day,1970,1998,FALSE
263,MB,SOMERSET,3544,5012710,NA,NA,49.450000000000003,-98.620000000000005,487.800000000000011,Etc/GMT+6,hour,NA,NA,FALSE
264,MB,SOMERSET,3544,5012710,NA,NA,49.450000000000003,-98.620000000000005,487.800000000000011,Etc/GMT+6,month,1970,1998,FALSE
457,MB,HOLLAND,3609,5021302,NA,NA,49.609999999999999,-98.879999999999995,374.899999999999977,Etc/GMT+6,day,1984,2021,FALSE
458,MB,HOLLAND,3609,5021302,NA,NA,49.609999999999999,-98.879999999999995,374.899999999999977,Etc/GMT+6,hour,NA,NA,FALSE
459,MB,HOLLAND,3609,5021302,NA,NA,49.609999999999999,-98.879999999999995,374.899999999999977,Etc/GMT+6,month,1984,2007,FALSE
1618,MB,CFB SHILO CCOC,43343,5012673,NA,NA,49.789999999999999,-99.629999999999995,372.000000000000000,Etc/GMT+6,day,2004,2005,FALSE
1619,MB,CFB SHILO CCOC,43343,5012673,NA,NA,49.789999999999999,-99.629999999999995,372.000000000000000,Etc/GMT+6,hour,NA,NA,FALSE
1620,MB,CFB SHILO CCOC,43343,5012673,NA,NA,49.789999999999999,-99.629999999999995,372.000000000000000,Etc/GMT+6,month,2004,2005,FALSE
1654,MB,CYPRESS RIVER RCS,48128,5010641,71239,POY,49.560000000000002,-99.069999999999993,374.000000000000000,Etc/GMT+6,day,2009,2021,FALSE
1655,MB,CYPRESS RIVER RCS,48128,5010641,71239,POY,49.560000000000002,-99.069999999999993,374.000000000000000,Etc/GMT+6,hour,2009,2021,FALSE
1656,MB,CYPRESS RIVER RCS,48128,5010641,71239,POY,49.560000000000002,-99.069999999999993,374.000000000000000,Etc/GMT+6,month,NA,NA,FALSE
1675,MB,BRANDON RCS,49909,5010490,71136,PBO,49.899999999999999,-99.950000000000003,409.399999999999977,Etc/GMT+6,day,2012,2021,FALSE
1676,MB,BRANDON RCS,49909,5010490,71136,PBO,49.899999999999999,-99.950000000000003,409.399999999999977,Etc/GMT+6,hour,2012,2021,FALSE
1677,MB,BRANDON RCS,49909,5010490,71136,PBO,49.899999999999999,-99.950000000000003,409.399999999999977,Etc/GMT+6,month,NA,NA,FALSE
1681,MB,BRANDON A,50821,5010481,71140,YBR,49.909999999999997,-99.950000000000003,409.300000000000011,Etc/GMT+6,day,2012,2021,FALSE
1682,MB,BRANDON A,50821,5010481,71140,YBR,49.909999999999997,-99.950000000000003,409.300000000000011,Etc/GMT+6,hour,2012,2021,FALSE
1683,MB,BRANDON A,50821,5010481,71140,YBR,49.909999999999997,-99.950000000000003,409.300000000000011,Etc/GMT+6,month,NA,NA,FALSE
